429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
598,90,10/3/2020,6:00 PM,Karnataka,4,0,0,0,4
305,293,22/3/2020,6:00 PM,West Bengal,4,0,0,0,4
968,434,28/3/2020,6:00 PM,Madhya Pradesh,30,0,0,2,30
877,97,10/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
849,231,20/3/2020,6:00 PM,Delhi,16,1,5,1,17
993,327,24/3/2020,6:00 PM,Maharashtra,86,3,0,2,89
197,174,16/3/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
51,258,21/3/2020,6:00 PM,Maharashtra,60,3,0,1,63
789,236,20/3/2020,6:00 PM,Maharashtra,49,3,0,1,52
598,309,23/3/2020,6:00 PM,Tamil Nadu,7,2,1,0,9
30,254,21/3/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
849,412,27/3/2020,10:00 AM,Puducherry,1,0,0,0,1
228,278,22/3/2020,6:00 PM,Karnataka,26,0,2,1,26
244,404,27/3/2020,10:00 AM,Karnataka,55,0,3,2,55
826,165,16/3/2020,6:00 PM,Haryana,0,14,0,0,14
211,341,25/3/2020,6:00 PM,Andhra Pradesh,9,0,1,0,9
477,256,21/3/2020,6:00 PM,Kerala,33,7,3,0,40
49,66,8/3/2020,6:00 PM,Ladakh,2,0,0,0,2
739,194,18/3/2020,6:00 PM,Delhi,9,1,2,1,10
753,300,23/3/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
476,221,19/3/2020,6:00 PM,Tamil Nadu,2,0,1,0,2
395,354,25/3/2020,6:00 PM,Odisha,2,0,0,0,2
652,157,15/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
848,180,17/3/2020,6:00 PM,Haryana,1,14,0,0,15
445,61,7/3/2020,6:00 PM,Telengana,1,0,0,0,1
550,170,16/3/2020,6:00 PM,Punjab,1,0,0,0,1
146,389,26/3/2020,6:00 PM,Telengana,34,10,1,0,44
44,411,27/3/2020,10:00 AM,Odisha,2,0,0,0,2
